Date,Quality_grade,AQI,AQI_rank,PM
2018/7/12,优,44,187,30
2018/7/13,良,59,295,41
2018/7/14,良,80,353,49
2018/7/15,良,99,355,58
2018/7/16,优,45,181,26
2018/7/17,优,27,30,17
2018/7/18,轻度污染,105,362,78
2018/7/19,良,91,351,67
2018/7/20,轻度污染,114,364,83
2018/7/21,轻度污染,107,361,68
2018/7/22,良,69,287,42
2018/7/23,良,81,342,52
2018/7/24,优,27,33,16
2018/7/25,优,36,71,9
2018/7/26,优,48,165,10
2018/7/27,良,68,318,45
2018/7/28,良,94,344,53
2018/7/29,轻度污染,111,365,71
2018/7/30,轻度污染,116,365,71
2018/7/31,轻度污染,118,366,61
2018/8/1,轻度污染,109,366,55
2018/8/2,轻度污染,130,366,83
2018/8/3,良,100,349,53
2018/8/4,轻度污染,122,359,63
2018/8/5,良,67,288,35
2018/8/6,良,53,187,36
2018/8/7,良,86,339,58
2018/8/8,优,41,97,19
2018/8/9,良,67,259,24
2018/8/10,轻度污染,102,346,30
2018/8/11,良,69,227,40
2018/8/12,良,74,291,53
2018/8/13,良,66,299,46
2018/8/14,优,41,169,22
2018/8/15,优,37,119,12
2018/8/16,良,53,294,12
2018/8/17,良,100,359,32
2018/8/18,优,46,204,13
2018/8/19,优,40,129,20
2018/8/20,良,51,213,22
2018/8/21,优,44,101,12
2018/8/22,优,47,133,17
2018/8/23,良,51,132,15
2018/8/25,良,90,302,34
2018/8/27,轻度污染,114,351,59
2018/8/29,优,44,166,6
2018/8/31,良,62,303,14
2018/9/2,良,58,289,40
2018/9/3,优,46,179,16
2018/9/4,优,26,38,6
2018/9/5,优,37,84,10
2018/9/6,优,40,114,7
2018/9/7,优,25,20,4
2018/9/8,优,29,38,6
2018/9/9,良,55,230,22
2018/9/10,良,66,292,41
2018/9/11,良,71,316,43
2018/9/12,良,65,277,42
2018/9/13,轻度污染,109,363,79
2018/9/14,轻度污染,128,365,97
2018/9/15,优,39,122,17
2018/9/16,优,30,73,6
2018/9/17,优,42,199,11
2018/9/18,优,50,250,18
2018/9/19,良,53,259,25
2018/9/20,良,64,310,41
2018/9/21,优,48,183,16
2018/9/22,优,27,20,5
2018/9/23,优,29,56,5
2018/9/24,优,27,45,6
2018/9/25,优,47,203,21
2018/9/26,良,52,264,32
2018/9/27,良,85,347,62
2018/9/28,良,76,334,52
2018/9/29,优,22,3,6
2018/9/30,优,23,9,5
2018/10/1,优,31,36,7
2018/10/2,优,32,26,10
2018/10/3,优,37,41,11
2018/10/4,良,67,200,41
2018/10/5,轻度污染,105,346,78
2018/10/6,优,33,24,9
2018/10/7,优,35,38,9
2018/10/8,优,39,68,9
2018/10/9,优,23,12,3
2018/10/10,优,25,23,5
2018/10/11,优,32,45,9
