Date,Quality_grade,AQI,AQI_rank,PM
2018/7/22,优,21,4,10
2018/7/23,优,29,29,13
2018/7/24,良,66,291,28
2018/7/25,良,86,334,40
2018/7/26,良,68,277,38
2018/7/27,轻度污染,102,362,44
2018/7/28,良,96,349,48
2018/7/29,良,78,294,47
2018/7/30,良,65,250,37
2018/7/31,优,44,129,22
2018/8/1,优,46,138,17
2018/8/2,优,40,114,19
2018/8/3,优,38,112,11
2018/8/4,良,54,223,21
2018/8/5,良,54,192,20
2018/8/6,良,58,214,22
2018/8/7,优,37,73,16
2018/8/8,优,46,138,24
2018/8/9,良,54,166,23
2018/8/10,良,71,253,30
2018/8/11,良,61,182,23
2018/8/12,优,28,21,14
2018/8/13,优,30,55,10
2018/8/14,优,30,68,9
2018/8/15,优,30,50,14
2018/8/16,优,27,9,9
2018/8/17,优,33,68,10
2018/8/18,优,29,20,8
2018/8/19,优,26,34,7
2018/8/20,优,36,75,11
2018/8/21,优,32,21,19
2018/8/22,优,34,36,16
2018/8/23,良,79,321,27
2018/8/25,优,38,53,19
2018/8/27,优,32,29,10
2018/8/29,优,33,76,10
2018/8/31,良,79,351,21
2018/9/2,良,65,320,38
2018/9/3,良,77,333,35
2018/9/4,良,88,361,41
2018/9/5,良,90,353,34
2018/9/6,轻度污染,103,359,50
2018/9/7,良,92,363,68
2018/9/8,优,41,136,15
2018/9/9,优,45,116,13
2018/9/10,优,45,116,12
2018/9/11,优,37,57,11
2018/9/12,优,31,38,11
2018/9/13,优,30,42,12
2018/9/14,优,29,39,12
2018/9/15,优,32,64,14
2018/9/16,优,28,60,11
2018/9/17,优,21,20,7
2018/9/18,优,27,77,14
2018/9/19,良,55,271,27
2018/9/20,优,45,182,28
2018/9/21,优,47,170,28
2018/9/22,优,41,128,21
2018/9/23,良,72,319,44
2018/9/24,良,83,345,27
2018/9/25,优,44,168,7
2018/9/26,优,46,206,9
2018/9/27,优,42,127,10
2018/9/28,优,39,88,10
2018/9/29,优,44,120,11
2018/9/30,良,82,343,36
2018/10/1,良,55,230,17
2018/10/2,良,57,187,22
2018/10/3,良,58,141,22
2018/10/4,良,65,187,17
2018/10/5,良,53,98,15
2018/10/6,良,54,114,23
2018/10/7,良,77,239,29
2018/10/8,优,46,101,16
2018/10/9,优,48,135,23
2018/10/10,良,52,202,24
2018/10/11,优,41,115,14
2018/10/12,优,40,61,16
2018/10/13,优,44,71,17
2018/10/14,优,36,56,13
2018/10/15,优,40,121,11
2018/10/16,优,48,164,22
2018/10/17,良,62,238,40
2018/10/18,优,46,158,21
2018/10/19,优,40,75,15
2018/10/20,优,35,55,12
2018/10/21,优,36,72,15
2018/10/22,优,33,40,15
2018/10/23,良,74,283,53
2018/10/24,良,97,317,65
2018/10/25,良,57,143,25
2018/10/26,良,77,310,52
2018/10/27,良,70,293,32
2018/10/28,良,65,243,38
2018/10/29,良,76,327,52
2018/10/30,优,47,97,21
2018/10/31,优,44,73,17
2018/11/1,优,40,34,13
2018/11/2,优,33,22,14
2018/11/3,优,35,32,15
2018/11/4,优,44,104,21
2018/11/5,优,44,141,25
2018/11/6,优,45,217,19
2018/11/7,优,50,226,35
2018/11/8,优,26,50,17
2018/11/9,良,68,266,49
2018/11/10,良,63,204,42
2018/11/11,良,69,229,50
2018/11/12,优,39,69,17
2018/11/13,优,43,102,23
2018/11/14,良,52,131,32
2018/11/15,优,41,91,22
2018/11/16,优,39,176,21
2018/11/17,优,37,124,15
2018/11/18,优,28,70,15
2018/11/19,良,95,314,71
2018/11/20,良,78,259,55
2018/11/21,优,32,46,11
2018/11/22,良,51,141,31
2018/11/23,良,60,134,40
2018/11/24,良,66,125,47
2018/11/25,轻度污染,110,237,82
2018/11/26,良,81,154,59
2018/11/27,轻度污染,101,201,75
2018/11/28,中度污染,159,272,120
2018/11/29,轻度污染,137,264,104
2018/11/30,良,98,207,63
2018/12/1,良,61,98,33
2018/12/2,优,44,41,28
2018/12/3,良,72,151,52
2018/12/4,优,43,108,25
2018/12/5,良,53,144,13
2018/12/6,优,34,89,10
2018/12/7,优,35,124,21
2018/12/8,优,41,166,24
2018/12/9,优,43,138,29
2018/12/10,优,26,55,6
2018/12/11,优,34,77,13
2018/12/12,良,99,256,73
2018/12/13,良,95,221,71
2018/12/14,良,75,169,54
2018/12/15,优,30,17,13
2018/12/16,良,91,198,66
2018/12/17,轻度污染,130,314,98
2018/12/18,轻度污染,116,285,87
2018/12/19,良,81,167,55
2018/12/20,优,45,43,27
2018/12/21,良,60,119,41
2018/12/28,优,45,156,25
2018/12/29,优,49,150,31
2018/12/30,优,42,76,28
2018/12/31,优,41,70,28
